motif	tf.gene	tf.ensg
MA0680.1	PAX7	ENSG00000009709
MA0681.1	PHOX2B	ENSG00000109132
MA0682.1	PITX1	ENSG00000069011
MA0683.1	POU4F2	ENSG00000151615
MA0684.1	RUNX3	ENSG00000020633
MA0685.1	SP4	ENSG00000105866
MA0686.1	SPDEF	ENSG00000124664
MA0687.1	SPIC	ENSG00000166211
MA0688.1	TBX2	ENSG00000121068
MA0689.1	TBX20	ENSG00000164532
MA0690.1	TBX21	ENSG00000073861
MA0691.1	TFAP4	ENSG00000090447
MA0692.1	TFEB	ENSG00000112561
MA0693.1	VDR	ENSG00000111424
MA0694.1	ZBTB7B	ENSG00000160685
MA0695.1	ZBTB7C	ENSG00000184828
MA0696.1	ZIC1	ENSG00000152977
MA0697.1	ZIC3	ENSG00000156925
MA0698.1	ZBTB18	ENSG00000179456
MA0699.1	LBX2	ENSG00000179528
MA0700.1	LHX2	ENSG00000106689
MA0701.1	LHX9	ENSG00000143355
MA0702.1	LMX1A	ENSG00000162761
MA0703.1	LMX1B	ENSG00000136944
MA0704.1	LHX4	ENSG00000121454
MA0705.1	LHX8	ENSG00000162624
MA0706.1	MEOX2	ENSG00000106511
MA0707.1	MNX1	ENSG00000130675
MA0708.1	MSX2	ENSG00000120149
MA0710.1	NOTO	ENSG00000214513
MA0711.1	OTX1	ENSG00000115507
MA0712.1	OTX2	ENSG00000165588
MA0713.1	PHOX2A	ENSG00000165462
MA0714.1	PITX3	ENSG00000107859
MA0715.1	PROP1	ENSG00000175325
MA0716.1	PRRX1	ENSG00000116132
MA0717.1	RAX2	ENSG00000173976
MA0718.1	RAX	ENSG00000134438
MA0719.1	RHOXF1	ENSG00000101883
MA0720.1	SHOX2	ENSG00000168779
MA0721.1	UNCX	ENSG00000164853
MA0722.1	VAX1	ENSG00000148704
MA0723.1	VAX2	ENSG00000116035
MA0724.1	VENTX	ENSG00000151650
MA0725.1	VSX1	ENSG00000100987
MA0726.1	VSX2	ENSG00000119614
MA0727.1	NR3C2	ENSG00000151623
MA0728.1	NR2F6	ENSG00000160113
MA0729.1	RARA	ENSG00000131759
MA0730.1	RARA	ENSG00000131759
MA0731.1	BCL6B	ENSG00000161940
MA0732.1	EGR3	ENSG00000179388
MA0733.1	EGR4	ENSG00000135625
MA0734.1	GLI2	ENSG00000074047
MA0735.1	GLIS1	ENSG00000174332
MA0736.1	GLIS2	ENSG00000126603
MA0737.1	GLIS3	ENSG00000107249
MA0738.1	HIC2	ENSG00000169635
MA0739.1	HIC1	ENSG00000177374
MA0740.1	KLF14	ENSG00000266265
MA0741.1	KLF16	ENSG00000129911
MA0742.1	KLF12	ENSG00000118922
MA0743.1	SCRT1	ENSG00000261678
MA0744.1	SCRT2	ENSG00000215397
MA0745.1	SNAI2	ENSG00000019549
MA0746.1	SP3	ENSG00000172845
MA0747.1	SP8	ENSG00000164651
MA0748.1	YY2	ENSG00000230797
MA0749.1	ZBED1	ENSG00000214717
MA0750.1	ZBTB7A	ENSG00000178951
MA0751.1	ZIC4	ENSG00000174963
MA0752.1	ZNF410	ENSG00000119725
MA0753.1	ZNF740	ENSG00000139651
MA0754.1	CUX1	ENSG00000257923
MA0755.1	CUX2	ENSG00000111249
MA0756.1	ONECUT2	ENSG00000119547
MA0757.1	ONECUT3	ENSG00000205922
MA0758.1	E2F7	ENSG00000165891
MA0759.1	ELK3	ENSG00000111145
MA0760.1	ERF	ENSG00000105722
MA0761.1	ETV1	ENSG00000006468
MA0762.1	ETV2	ENSG00000105672
MA0763.1	ETV3	ENSG00000117036
MA0764.1	ETV4	ENSG00000175832
MA0765.1	ETV5	ENSG00000244405
MA0766.1	GATA5	ENSG00000130700
MA0767.1	GCM2	ENSG00000124827
MA0768.1	LEF1	ENSG00000138795
MA0769.1	TCF7	ENSG00000081059
MA0770.1	HSF2	ENSG00000025156
MA0771.1	HSF4	ENSG00000102878
MA0772.1	IRF7	ENSG00000185507
MA0773.1	MEF2D	ENSG00000116604
MA0774.1	MEIS2	ENSG00000134138
MA0775.1	MEIS3	ENSG00000105419
