motif	tf.gene	tf.ensg
MA0716.1	LEUTX	ENSG00000213921
MA0716.1	NOBOX	ENSG00000106410
MA0716.1	OTP	ENSG00000171540
MA0716.1	ARGFX	ENSG00000186103
MA0716.1	RAX	ENSG00000134438
MA0716.1	SEBOX	ENSG00000274529
MA0716.1	SHOX	ENSG00000185960
MA0716.1	UNCX	ENSG00000164853
MA0716.1	ARX	ENSG00000004848
MA0716.1	DPRX	ENSG00000204595
MA0716.1	DRGX	ENSG00000165606
MA0716.1	GSC	ENSG00000133937
MA0716.1	GSC2	ENSG00000063515
MA0716.1	ESX1	ENSG00000123576
MA0716.1	DUXA	ENSG00000258873
MA0716.1	DUX4	ENSG00000260596
MA0716.1	VSX1	ENSG00000100987
MA0716.1	VSX2	ENSG00000119614
MA0716.1	TPRX1	ENSG00000178928
MA0716.1	SHOX2	ENSG00000168779
MA0716.1	RHOXF1	ENSG00000101883
MA0716.1	RHOXF2	ENSG00000131721
MA0716.1	RHOXF2B	ENSG00000203989
MA0716.1	RAX2	ENSG00000173976
MA0716.1	PRRX2	ENSG00000167157
MA0716.1	PROP1	ENSG00000175325
MA0716.1	PITX1	ENSG00000069011
MA0716.1	PITX2	ENSG00000164093
MA0716.1	PITX3	ENSG00000107859
MA0716.1	PHOX2A	ENSG00000165462
MA0716.1	PHOX2B	ENSG00000109132
MA0716.1	OTX1	ENSG00000115507
MA0716.1	OTX2	ENSG00000165588
MA0716.1	CRX	ENSG00000105392
MA0716.1	MIXL1	ENSG00000185155
MA0716.1	HESX1	ENSG00000163666
MA0716.1	ALX1	ENSG00000180318
MA0716.1	ALX3	ENSG00000156150
MA0716.1	ALX4	ENSG00000052850
MA0716.1	ELF3	ENSG00000163435
MA0717.1	HOPX	ENSG00000171476
MA0717.1	ISX	ENSG00000175329
MA0717.1	LEUTX	ENSG00000213921
MA0717.1	NOBOX	ENSG00000106410
MA0717.1	OTP	ENSG00000171540
MA0717.1	ARGFX	ENSG00000186103
MA0717.1	RAX	ENSG00000134438
MA0717.1	SEBOX	ENSG00000274529
MA0717.1	SHOX	ENSG00000185960
MA0717.1	UNCX	ENSG00000164853
MA0717.1	ARX	ENSG00000004848
MA0717.1	DPRX	ENSG00000204595
MA0717.1	DRGX	ENSG00000165606
MA0717.1	GSC	ENSG00000133937
MA0717.1	GSC2	ENSG00000063515
MA0717.1	ESX1	ENSG00000123576
MA0717.1	DUXA	ENSG00000258873
MA0717.1	DUX4	ENSG00000260596
MA0717.1	VSX1	ENSG00000100987
MA0717.1	VSX2	ENSG00000119614
MA0717.1	TPRX1	ENSG00000178928
MA0717.1	SHOX2	ENSG00000168779
MA0717.1	RHOXF1	ENSG00000101883
MA0717.1	RHOXF2	ENSG00000131721
MA0717.1	RHOXF2B	ENSG00000203989
MA0717.1	PRRX1	ENSG00000116132
MA0717.1	PRRX2	ENSG00000167157
MA0717.1	PROP1	ENSG00000175325
MA0717.1	PITX1	ENSG00000069011
MA0717.1	PITX2	ENSG00000164093
MA0717.1	PITX3	ENSG00000107859
MA0717.1	PHOX2A	ENSG00000165462
MA0717.1	PHOX2B	ENSG00000109132
MA0717.1	OTX1	ENSG00000115507
MA0717.1	OTX2	ENSG00000165588
MA0717.1	CRX	ENSG00000105392
MA0717.1	MIXL1	ENSG00000185155
MA0717.1	HESX1	ENSG00000163666
MA0717.1	ALX1	ENSG00000180318
MA0717.1	ALX3	ENSG00000156150
MA0717.1	ALX4	ENSG00000052850
MA0717.1	ELF3	ENSG00000163435
MA0718.1	HOPX	ENSG00000171476
MA0718.1	ISX	ENSG00000175329
MA0718.1	LEUTX	ENSG00000213921
MA0718.1	NOBOX	ENSG00000106410
MA0718.1	OTP	ENSG00000171540
MA0718.1	ARGFX	ENSG00000186103
MA0718.1	SEBOX	ENSG00000274529
MA0718.1	SHOX	ENSG00000185960
MA0718.1	UNCX	ENSG00000164853
MA0718.1	ARX	ENSG00000004848
MA0718.1	DPRX	ENSG00000204595
MA0718.1	DRGX	ENSG00000165606
MA0718.1	GSC	ENSG00000133937
MA0718.1	GSC2	ENSG00000063515
MA0718.1	ESX1	ENSG00000123576
MA0718.1	DUXA	ENSG00000258873
MA0718.1	DUX4	ENSG00000260596
MA0718.1	VSX1	ENSG00000100987
MA0718.1	VSX2	ENSG00000119614
MA0718.1	TPRX1	ENSG00000178928
MA0718.1	SHOX2	ENSG00000168779
MA0718.1	RHOXF1	ENSG00000101883
MA0718.1	RHOXF2	ENSG00000131721
MA0718.1	RHOXF2B	ENSG00000203989
MA0718.1	RAX2	ENSG00000173976
MA0718.1	PRRX1	ENSG00000116132
MA0718.1	PRRX2	ENSG00000167157
MA0718.1	PROP1	ENSG00000175325
MA0718.1	PITX1	ENSG00000069011
MA0718.1	PITX2	ENSG00000164093
MA0718.1	PITX3	ENSG00000107859
MA0718.1	PHOX2A	ENSG00000165462
MA0718.1	PHOX2B	ENSG00000109132
MA0718.1	OTX1	ENSG00000115507
MA0718.1	OTX2	ENSG00000165588
MA0718.1	CRX	ENSG00000105392
MA0718.1	MIXL1	ENSG00000185155
MA0718.1	HESX1	ENSG00000163666
MA0718.1	ALX1	ENSG00000180318
MA0718.1	ALX3	ENSG00000156150
MA0718.1	ALX4	ENSG00000052850
MA0718.1	ELF3	ENSG00000163435
MA0719.1	HOPX	ENSG00000171476
MA0719.1	ISX	ENSG00000175329
MA0719.1	LEUTX	ENSG00000213921
MA0719.1	NOBOX	ENSG00000106410
MA0719.1	OTP	ENSG00000171540
MA0719.1	ARGFX	ENSG00000186103
MA0719.1	RAX	ENSG00000134438
MA0719.1	SEBOX	ENSG00000274529
MA0719.1	SHOX	ENSG00000185960
MA0719.1	UNCX	ENSG00000164853
MA0719.1	ARX	ENSG00000004848
MA0719.1	DPRX	ENSG00000204595
MA0719.1	DRGX	ENSG00000165606
MA0719.1	GSC	ENSG00000133937
MA0719.1	GSC2	ENSG00000063515
MA0719.1	ESX1	ENSG00000123576
MA0719.1	DUXA	ENSG00000258873
MA0719.1	DUX4	ENSG00000260596
MA0719.1	VSX1	ENSG00000100987
MA0719.1	VSX2	ENSG00000119614
MA0719.1	TPRX1	ENSG00000178928
MA0719.1	SHOX2	ENSG00000168779
MA0719.1	RHOXF2	ENSG00000131721
MA0719.1	RHOXF2B	ENSG00000203989
MA0719.1	RAX2	ENSG00000173976
MA0719.1	PRRX1	ENSG00000116132
MA0719.1	PRRX2	ENSG00000167157
MA0719.1	PROP1	ENSG00000175325
MA0719.1	PITX1	ENSG00000069011
MA0719.1	PITX2	ENSG00000164093
MA0719.1	PITX3	ENSG00000107859
MA0719.1	PHOX2A	ENSG00000165462
MA0719.1	PHOX2B	ENSG00000109132
MA0719.1	OTX1	ENSG00000115507
MA0719.1	OTX2	ENSG00000165588
MA0719.1	CRX	ENSG00000105392
MA0719.1	MIXL1	ENSG00000185155
MA0719.1	HESX1	ENSG00000163666
MA0719.1	ALX1	ENSG00000180318
MA0719.1	ALX3	ENSG00000156150
MA0719.1	ALX4	ENSG00000052850
MA0719.1	ELF3	ENSG00000163435
MA0720.1	HOPX	ENSG00000171476
MA0720.1	ISX	ENSG00000175329
MA0720.1	LEUTX	ENSG00000213921
MA0720.1	NOBOX	ENSG00000106410
MA0720.1	OTP	ENSG00000171540
MA0720.1	ARGFX	ENSG00000186103
MA0720.1	RAX	ENSG00000134438
MA0720.1	SEBOX	ENSG00000274529
MA0720.1	SHOX	ENSG00000185960
MA0720.1	UNCX	ENSG00000164853
MA0720.1	ARX	ENSG00000004848
MA0720.1	DPRX	ENSG00000204595
MA0720.1	DRGX	ENSG00000165606
MA0720.1	GSC	ENSG00000133937
MA0720.1	GSC2	ENSG00000063515
MA0720.1	ESX1	ENSG00000123576
MA0720.1	DUXA	ENSG00000258873
MA0720.1	DUX4	ENSG00000260596
MA0720.1	VSX1	ENSG00000100987
MA0720.1	VSX2	ENSG00000119614
MA0720.1	TPRX1	ENSG00000178928
MA0720.1	RHOXF1	ENSG00000101883
MA0720.1	RHOXF2	ENSG00000131721
MA0720.1	RHOXF2B	ENSG00000203989
MA0720.1	RAX2	ENSG00000173976
MA0720.1	PRRX1	ENSG00000116132
MA0720.1	PRRX2	ENSG00000167157
MA0720.1	PROP1	ENSG00000175325
MA0720.1	PITX1	ENSG00000069011
MA0720.1	PITX2	ENSG00000164093
MA0720.1	PITX3	ENSG00000107859
MA0720.1	PHOX2A	ENSG00000165462
MA0720.1	PHOX2B	ENSG00000109132
MA0720.1	OTX1	ENSG00000115507
MA0720.1	OTX2	ENSG00000165588
MA0720.1	CRX	ENSG00000105392
MA0720.1	MIXL1	ENSG00000185155
MA0720.1	HESX1	ENSG00000163666
MA0720.1	ALX1	ENSG00000180318
MA0720.1	ALX3	ENSG00000156150
MA0720.1	ALX4	ENSG00000052850
MA0720.1	ELF3	ENSG00000163435
MA0721.1	HOPX	ENSG00000171476
MA0721.1	ISX	ENSG00000175329
MA0721.1	LEUTX	ENSG00000213921
MA0721.1	NOBOX	ENSG00000106410
MA0721.1	OTP	ENSG00000171540
MA0721.1	ARGFX	ENSG00000186103
MA0721.1	RAX	ENSG00000134438
MA0721.1	SEBOX	ENSG00000274529
MA0721.1	SHOX	ENSG00000185960
MA0721.1	ARX	ENSG00000004848
MA0721.1	DPRX	ENSG00000204595
MA0721.1	DRGX	ENSG00000165606
MA0721.1	GSC	ENSG00000133937
MA0721.1	GSC2	ENSG00000063515
MA0721.1	ESX1	ENSG00000123576
MA0721.1	DUXA	ENSG00000258873
MA0721.1	DUX4	ENSG00000260596
MA0721.1	VSX1	ENSG00000100987
MA0721.1	VSX2	ENSG00000119614
MA0721.1	TPRX1	ENSG00000178928
MA0721.1	SHOX2	ENSG00000168779
MA0721.1	RHOXF1	ENSG00000101883
MA0721.1	RHOXF2	ENSG00000131721
MA0721.1	RHOXF2B	ENSG00000203989
MA0721.1	RAX2	ENSG00000173976
MA0721.1	PRRX1	ENSG00000116132
MA0721.1	PRRX2	ENSG00000167157
MA0721.1	PROP1	ENSG00000175325
MA0721.1	PITX1	ENSG00000069011
MA0721.1	PITX2	ENSG00000164093
MA0721.1	PITX3	ENSG00000107859
MA0721.1	PHOX2A	ENSG00000165462
MA0721.1	PHOX2B	ENSG00000109132
MA0721.1	OTX1	ENSG00000115507
MA0721.1	OTX2	ENSG00000165588
MA0721.1	CRX	ENSG00000105392
MA0721.1	MIXL1	ENSG00000185155
MA0721.1	HESX1	ENSG00000163666
MA0721.1	ALX1	ENSG00000180318
MA0721.1	ALX3	ENSG00000156150
MA0721.1	ALX4	ENSG00000052850
MA0721.1	ELF3	ENSG00000163435
MA0722.1	NANOG	ENSG00000111704
MA0722.1	NOTO	ENSG00000214513
MA0722.1	VENTX	ENSG00000151650
MA0722.1	BSX	ENSG00000188909
MA0722.1	HHEX	ENSG00000152804
MA0722.1	HLX	ENSG00000136630
MA0722.1	EN1	ENSG00000163064
MA0722.1	EN2	ENSG00000164778
MA0722.1	EMX1	ENSG00000135638
MA0722.1	EMX2	ENSG00000170370
MA0722.1	DLX1	ENSG00000144355
MA0722.1	DLX2	ENSG00000115844
MA0722.1	DLX3	ENSG00000064195
MA0722.1	DLX4	ENSG00000108813
MA0722.1	DLX5	ENSG00000105880
MA0722.1	DLX6	ENSG00000006377
MA0722.1	DBX1	ENSG00000109851
MA0722.1	DBX2	ENSG00000185610
MA0722.1	VAX2	ENSG00000116035
MA0722.1	TLX1	ENSG00000107807
MA0722.1	TLX2	ENSG00000115297
MA0722.1	TLX3	ENSG00000164438
MA0722.1	BARX1	ENSG00000131668
MA0722.1	BARX2	ENSG00000043039
MA0722.1	HMX1	ENSG00000215612
MA0722.1	HMX2	ENSG00000188816
MA0722.1	HMX3	ENSG00000188620
MA0722.1	MSX1	ENSG00000163132
MA0722.1	MSX2	ENSG00000120149
MA0722.1	LBX1	ENSG00000138136
MA0722.1	LBX2	ENSG00000179528
MA0722.1	BARHL1	ENSG00000125492
MA0722.1	BARHL2	ENSG00000143032
MA0722.1	NR2E1	ENSG00000112333
MA0723.1	NANOG	ENSG00000111704
MA0723.1	NOTO	ENSG00000214513
MA0723.1	VENTX	ENSG00000151650
MA0723.1	BSX	ENSG00000188909
MA0723.1	HHEX	ENSG00000152804
MA0723.1	HLX	ENSG00000136630
MA0723.1	EN1	ENSG00000163064
MA0723.1	EN2	ENSG00000164778
MA0723.1	EMX1	ENSG00000135638
MA0723.1	EMX2	ENSG00000170370
MA0723.1	DLX1	ENSG00000144355
MA0723.1	DLX2	ENSG00000115844
MA0723.1	DLX3	ENSG00000064195
MA0723.1	DLX4	ENSG00000108813
MA0723.1	DLX5	ENSG00000105880
MA0723.1	DLX6	ENSG00000006377
MA0723.1	DBX1	ENSG00000109851
MA0723.1	DBX2	ENSG00000185610
MA0723.1	VAX1	ENSG00000148704
MA0723.1	TLX1	ENSG00000107807
MA0723.1	TLX2	ENSG00000115297
MA0723.1	TLX3	ENSG00000164438
MA0723.1	BARX1	ENSG00000131668
MA0723.1	BARX2	ENSG00000043039
MA0723.1	HMX1	ENSG00000215612
MA0723.1	HMX2	ENSG00000188816
MA0723.1	HMX3	ENSG00000188620
MA0723.1	MSX1	ENSG00000163132
MA0723.1	MSX2	ENSG00000120149
MA0723.1	LBX1	ENSG00000138136
MA0723.1	LBX2	ENSG00000179528
MA0723.1	BARHL1	ENSG00000125492
MA0723.1	BARHL2	ENSG00000143032
MA0723.1	NR2E1	ENSG00000112333
MA0724.1	NANOG	ENSG00000111704
MA0724.1	NOTO	ENSG00000214513
MA0724.1	BSX	ENSG00000188909
MA0724.1	HHEX	ENSG00000152804
MA0724.1	HLX	ENSG00000136630
MA0724.1	EN1	ENSG00000163064
MA0724.1	EN2	ENSG00000164778
MA0724.1	EMX1	ENSG00000135638
MA0724.1	EMX2	ENSG00000170370
MA0724.1	DLX1	ENSG00000144355
MA0724.1	DLX2	ENSG00000115844
MA0724.1	DLX3	ENSG00000064195
MA0724.1	DLX4	ENSG00000108813
MA0724.1	DLX5	ENSG00000105880
MA0724.1	DLX6	ENSG00000006377
MA0724.1	DBX1	ENSG00000109851
MA0724.1	DBX2	ENSG00000185610
MA0724.1	VAX1	ENSG00000148704
MA0724.1	VAX2	ENSG00000116035
MA0724.1	TLX1	ENSG00000107807
MA0724.1	TLX2	ENSG00000115297
MA0724.1	TLX3	ENSG00000164438
MA0724.1	BARX1	ENSG00000131668
MA0724.1	BARX2	ENSG00000043039
MA0724.1	HMX1	ENSG00000215612
MA0724.1	HMX2	ENSG00000188816
MA0724.1	HMX3	ENSG00000188620
MA0724.1	MSX1	ENSG00000163132
MA0724.1	MSX2	ENSG00000120149
MA0724.1	LBX1	ENSG00000138136
MA0724.1	LBX2	ENSG00000179528
MA0724.1	BARHL1	ENSG00000125492
MA0724.1	BARHL2	ENSG00000143032
MA0724.1	NR2E1	ENSG00000112333
MA0725.1	HOPX	ENSG00000171476
MA0725.1	ISX	ENSG00000175329
MA0725.1	LEUTX	ENSG00000213921
MA0725.1	NOBOX	ENSG00000106410
MA0725.1	OTP	ENSG00000171540
MA0725.1	ARGFX	ENSG00000186103
MA0725.1	RAX	ENSG00000134438
MA0725.1	SEBOX	ENSG00000274529
MA0725.1	SHOX	ENSG00000185960
MA0725.1	UNCX	ENSG00000164853
MA0725.1	ARX	ENSG00000004848
MA0725.1	DPRX	ENSG00000204595
MA0725.1	DRGX	ENSG00000165606
MA0725.1	GSC	ENSG00000133937
MA0725.1	GSC2	ENSG00000063515
MA0725.1	ESX1	ENSG00000123576
MA0725.1	DUXA	ENSG00000258873
MA0725.1	DUX4	ENSG00000260596
MA0725.1	VSX2	ENSG00000119614
MA0725.1	TPRX1	ENSG00000178928
MA0725.1	SHOX2	ENSG00000168779
MA0725.1	RHOXF1	ENSG00000101883
MA0725.1	RHOXF2	ENSG00000131721
MA0725.1	RHOXF2B	ENSG00000203989
MA0725.1	RAX2	ENSG00000173976
MA0725.1	PRRX1	ENSG00000116132
MA0725.1	PRRX2	ENSG00000167157
MA0725.1	PROP1	ENSG00000175325
MA0725.1	PITX1	ENSG00000069011
MA0725.1	PITX2	ENSG00000164093
MA0725.1	PITX3	ENSG00000107859
MA0725.1	PHOX2A	ENSG00000165462
MA0725.1	PHOX2B	ENSG00000109132
MA0725.1	OTX1	ENSG00000115507
MA0725.1	OTX2	ENSG00000165588
MA0725.1	CRX	ENSG00000105392
MA0725.1	MIXL1	ENSG00000185155
MA0725.1	HESX1	ENSG00000163666
MA0725.1	ALX1	ENSG00000180318
MA0725.1	ALX3	ENSG00000156150
MA0725.1	ALX4	ENSG00000052850
MA0725.1	ELF3	ENSG00000163435
MA0726.1	HOPX	ENSG00000171476
MA0726.1	ISX	ENSG00000175329
MA0726.1	LEUTX	ENSG00000213921
MA0726.1	NOBOX	ENSG00000106410
MA0726.1	OTP	ENSG00000171540
MA0726.1	ARGFX	ENSG00000186103
MA0726.1	RAX	ENSG00000134438
MA0726.1	SEBOX	ENSG00000274529
MA0726.1	SHOX	ENSG00000185960
MA0726.1	UNCX	ENSG00000164853
MA0726.1	ARX	ENSG00000004848
MA0726.1	DPRX	ENSG00000204595
MA0726.1	DRGX	ENSG00000165606
MA0726.1	GSC	ENSG00000133937
MA0726.1	GSC2	ENSG00000063515
MA0726.1	ESX1	ENSG00000123576
MA0726.1	DUXA	ENSG00000258873
MA0726.1	DUX4	ENSG00000260596
MA0726.1	VSX1	ENSG00000100987
MA0726.1	TPRX1	ENSG00000178928
MA0726.1	SHOX2	ENSG00000168779
MA0726.1	RHOXF1	ENSG00000101883
MA0726.1	RHOXF2	ENSG00000131721
MA0726.1	RHOXF2B	ENSG00000203989
MA0726.1	RAX2	ENSG00000173976
MA0726.1	PRRX1	ENSG00000116132
MA0726.1	PRRX2	ENSG00000167157
MA0726.1	PROP1	ENSG00000175325
MA0726.1	PITX1	ENSG00000069011
MA0726.1	PITX2	ENSG00000164093
MA0726.1	PITX3	ENSG00000107859
MA0726.1	PHOX2A	ENSG00000165462
MA0726.1	PHOX2B	ENSG00000109132
MA0726.1	OTX1	ENSG00000115507
MA0726.1	OTX2	ENSG00000165588
MA0726.1	CRX	ENSG00000105392
MA0726.1	MIXL1	ENSG00000185155
MA0726.1	HESX1	ENSG00000163666
MA0726.1	ALX1	ENSG00000180318
MA0726.1	ALX3	ENSG00000156150
MA0726.1	ALX4	ENSG00000052850
MA0726.1	ELF3	ENSG00000163435
MA0727.1	ESR1	ENSG00000091831
MA0727.1	ESR2	ENSG00000140009
MA0727.1	ESRRA	ENSG00000173153
MA0727.1	ESRRB	ENSG00000119715
MA0727.1	ESRRG	ENSG00000196482
MA0727.1	NR3C1	ENSG00000113580
MA0727.1	PGR	ENSG00000082175
MA0727.1	AR	ENSG00000169083
MA0732.1	EGR1	ENSG00000120738
MA0732.1	EGR2	ENSG00000122877
MA0732.1	EGR4	ENSG00000135625
MA0732.1	KLF1	ENSG00000105610
MA0732.1	KLF10	ENSG00000155090
MA0732.1	KLF11	ENSG00000172059
MA0732.1	KLF12	ENSG00000118922
MA0732.1	KLF13	ENSG00000169926
MA0732.1	KLF14	ENSG00000266265
MA0732.1	KLF15	ENSG00000163884
MA0732.1	KLF16	ENSG00000129911
MA0732.1	KLF17	ENSG00000171872
MA0732.1	KLF2	ENSG00000127528
MA0732.1	KLF3	ENSG00000109787
MA0732.1	KLF4	ENSG00000136826
MA0732.1	KLF5	ENSG00000102554
MA0732.1	KLF6	ENSG00000067082
MA0732.1	KLF7	ENSG00000118263
MA0732.1	KLF8	ENSG00000102349
MA0732.1	KLF9	ENSG00000119138
MA0732.1	SP1	ENSG00000185591
MA0732.1	SP2	ENSG00000167182
MA0732.1	SP3	ENSG00000172845
MA0732.1	SP4	ENSG00000105866
MA0732.1	SP5	ENSG00000204335
MA0732.1	SP6	ENSG00000189120
MA0732.1	SP7	ENSG00000170374
MA0732.1	SP8	ENSG00000164651
MA0732.1	SP9	ENSG00000217236
MA0733.1	EGR1	ENSG00000120738
MA0733.1	EGR2	ENSG00000122877
MA0733.1	EGR3	ENSG00000179388
MA0733.1	KLF1	ENSG00000105610
MA0733.1	KLF10	ENSG00000155090
MA0733.1	KLF11	ENSG00000172059
MA0733.1	KLF12	ENSG00000118922
MA0733.1	KLF13	ENSG00000169926
MA0733.1	KLF14	ENSG00000266265
MA0733.1	KLF15	ENSG00000163884
MA0733.1	KLF16	ENSG00000129911
MA0733.1	KLF17	ENSG00000171872
MA0733.1	KLF2	ENSG00000127528
MA0733.1	KLF3	ENSG00000109787
MA0733.1	KLF4	ENSG00000136826
MA0733.1	KLF5	ENSG00000102554
MA0733.1	KLF6	ENSG00000067082
MA0733.1	KLF7	ENSG00000118263
MA0733.1	KLF8	ENSG00000102349
MA0733.1	KLF9	ENSG00000119138
MA0733.1	SP1	ENSG00000185591
MA0733.1	SP2	ENSG00000167182
MA0733.1	SP3	ENSG00000172845
MA0733.1	SP4	ENSG00000105866
MA0733.1	SP5	ENSG00000204335
MA0733.1	SP6	ENSG00000189120
MA0733.1	SP7	ENSG00000170374
MA0733.1	SP8	ENSG00000164651
MA0733.1	SP9	ENSG00000217236
MA0740.1	EGR1	ENSG00000120738
MA0740.1	EGR2	ENSG00000122877
MA0740.1	EGR3	ENSG00000179388
MA0740.1	EGR4	ENSG00000135625
MA0740.1	KLF1	ENSG00000105610
MA0740.1	KLF10	ENSG00000155090
MA0740.1	KLF11	ENSG00000172059
MA0740.1	KLF12	ENSG00000118922
MA0740.1	KLF13	ENSG00000169926
MA0740.1	KLF15	ENSG00000163884
MA0740.1	KLF16	ENSG00000129911
MA0740.1	KLF17	ENSG00000171872
MA0740.1	KLF2	ENSG00000127528
MA0740.1	KLF3	ENSG00000109787
MA0740.1	KLF4	ENSG00000136826
MA0740.1	KLF5	ENSG00000102554
MA0740.1	KLF6	ENSG00000067082
MA0740.1	KLF7	ENSG00000118263
MA0740.1	KLF8	ENSG00000102349
MA0740.1	KLF9	ENSG00000119138
MA0740.1	SP1	ENSG00000185591
MA0740.1	SP2	ENSG00000167182
MA0740.1	SP3	ENSG00000172845
MA0740.1	SP4	ENSG00000105866
MA0740.1	SP5	ENSG00000204335
MA0740.1	SP6	ENSG00000189120
MA0740.1	SP7	ENSG00000170374
MA0740.1	SP8	ENSG00000164651
MA0740.1	SP9	ENSG00000217236
MA0741.1	EGR1	ENSG00000120738
MA0741.1	EGR2	ENSG00000122877
MA0741.1	EGR3	ENSG00000179388
MA0741.1	EGR4	ENSG00000135625
MA0741.1	KLF1	ENSG00000105610
MA0741.1	KLF10	ENSG00000155090
MA0741.1	KLF11	ENSG00000172059
MA0741.1	KLF12	ENSG00000118922
MA0741.1	KLF13	ENSG00000169926
MA0741.1	KLF14	ENSG00000266265
MA0741.1	KLF15	ENSG00000163884
MA0741.1	KLF17	ENSG00000171872
MA0741.1	KLF2	ENSG00000127528
MA0741.1	KLF3	ENSG00000109787
MA0741.1	KLF4	ENSG00000136826
MA0741.1	KLF5	ENSG00000102554
MA0741.1	KLF6	ENSG00000067082
MA0741.1	KLF7	ENSG00000118263
MA0741.1	KLF8	ENSG00000102349
MA0741.1	KLF9	ENSG00000119138
MA0741.1	SP1	ENSG00000185591
MA0741.1	SP2	ENSG00000167182
MA0741.1	SP3	ENSG00000172845
MA0741.1	SP4	ENSG00000105866
MA0741.1	SP5	ENSG00000204335
MA0741.1	SP6	ENSG00000189120
MA0741.1	SP7	ENSG00000170374
MA0741.1	SP8	ENSG00000164651
MA0741.1	SP9	ENSG00000217236
MA0742.1	EGR1	ENSG00000120738
MA0742.1	EGR2	ENSG00000122877
MA0742.1	EGR3	ENSG00000179388
MA0742.1	EGR4	ENSG00000135625
MA0742.1	KLF1	ENSG00000105610
MA0742.1	KLF10	ENSG00000155090
MA0742.1	KLF11	ENSG00000172059
MA0742.1	KLF13	ENSG00000169926
MA0742.1	KLF14	ENSG00000266265
MA0742.1	KLF15	ENSG00000163884
MA0742.1	KLF16	ENSG00000129911
MA0742.1	KLF17	ENSG00000171872
MA0742.1	KLF2	ENSG00000127528
MA0742.1	KLF3	ENSG00000109787
MA0742.1	KLF4	ENSG00000136826
MA0742.1	KLF5	ENSG00000102554
MA0742.1	KLF6	ENSG00000067082
MA0742.1	KLF7	ENSG00000118263
MA0742.1	KLF8	ENSG00000102349
MA0742.1	KLF9	ENSG00000119138
MA0742.1	SP1	ENSG00000185591
MA0742.1	SP2	ENSG00000167182
MA0742.1	SP3	ENSG00000172845
MA0742.1	SP4	ENSG00000105866
MA0742.1	SP5	ENSG00000204335
MA0742.1	SP6	ENSG00000189120
MA0742.1	SP7	ENSG00000170374
MA0742.1	SP8	ENSG00000164651
MA0742.1	SP9	ENSG00000217236
MA0746.1	EGR1	ENSG00000120738
MA0746.1	EGR2	ENSG00000122877
MA0746.1	EGR3	ENSG00000179388
MA0746.1	EGR4	ENSG00000135625
MA0746.1	KLF1	ENSG00000105610
MA0746.1	KLF10	ENSG00000155090
MA0746.1	KLF11	ENSG00000172059
MA0746.1	KLF12	ENSG00000118922
MA0746.1	KLF13	ENSG00000169926
MA0746.1	KLF14	ENSG00000266265
MA0746.1	KLF15	ENSG00000163884
MA0746.1	KLF16	ENSG00000129911
MA0746.1	KLF17	ENSG00000171872
MA0746.1	KLF2	ENSG00000127528
MA0746.1	KLF3	ENSG00000109787
MA0746.1	KLF4	ENSG00000136826
MA0746.1	KLF5	ENSG00000102554
MA0746.1	KLF6	ENSG00000067082
MA0746.1	KLF7	ENSG00000118263
MA0746.1	KLF8	ENSG00000102349
MA0746.1	KLF9	ENSG00000119138
MA0746.1	SP1	ENSG00000185591
MA0746.1	SP2	ENSG00000167182
MA0746.1	SP4	ENSG00000105866
MA0746.1	SP5	ENSG00000204335
MA0746.1	SP6	ENSG00000189120
MA0746.1	SP7	ENSG00000170374
MA0746.1	SP8	ENSG00000164651
MA0746.1	SP9	ENSG00000217236
MA0747.1	EGR1	ENSG00000120738
MA0747.1	EGR2	ENSG00000122877
MA0747.1	EGR3	ENSG00000179388
MA0747.1	EGR4	ENSG00000135625
MA0747.1	KLF1	ENSG00000105610
MA0747.1	KLF10	ENSG00000155090
MA0747.1	KLF11	ENSG00000172059
MA0747.1	KLF12	ENSG00000118922
MA0747.1	KLF13	ENSG00000169926
MA0747.1	KLF14	ENSG00000266265
MA0747.1	KLF15	ENSG00000163884
MA0747.1	KLF16	ENSG00000129911
MA0747.1	KLF17	ENSG00000171872
MA0747.1	KLF2	ENSG00000127528
MA0747.1	KLF3	ENSG00000109787
MA0747.1	KLF4	ENSG00000136826
MA0747.1	KLF5	ENSG00000102554
MA0747.1	KLF6	ENSG00000067082
MA0747.1	KLF7	ENSG00000118263
MA0747.1	KLF8	ENSG00000102349
MA0747.1	KLF9	ENSG00000119138
MA0747.1	SP1	ENSG00000185591
MA0747.1	SP2	ENSG00000167182
MA0747.1	SP3	ENSG00000172845
MA0747.1	SP4	ENSG00000105866
MA0747.1	SP5	ENSG00000204335
MA0747.1	SP6	ENSG00000189120
MA0747.1	SP7	ENSG00000170374
MA0747.1	SP9	ENSG00000217236
MA0749.1	ZBED2	ENSG00000177494
MA0749.1	ZBED3	ENSG00000132846
MA0749.1	ZBED4	ENSG00000100426
MA0749.1	ZBED5	ENSG00000236287
MA0749.1	ZBED6	ENSG00000257315
MA0754.1	SATB1	ENSG00000182568
MA0754.1	SATB2	ENSG00000119042
MA0754.1	CUX2	ENSG00000111249
MA0754.1	ONECUT1	ENSG00000169856
MA0754.1	ONECUT2	ENSG00000119547
MA0754.1	ONECUT3	ENSG00000205922
MA0755.1	SATB1	ENSG00000182568
MA0755.1	SATB2	ENSG00000119042
MA0755.1	CUX1	ENSG00000257923
MA0755.1	ONECUT1	ENSG00000169856
